real_time_iso8601,simulation_timestep_step,susceptible_agents_count,infected_agents_count,recovered_agents_count,vaccinated_agents_count,transmission_probability_fraction,vaccination_efficacy_fraction,vaccinated_fraction,effective_transmission_probability_fraction,transmission_probability_reduction_fraction,entity_count_agents,real_elapsed_seconds_s,runtime_mm_ss
2026-03-26T16:12:26,1000,995,5,0,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,1.05,00:01
2026-03-26T16:12:28,2000,989,11,0,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,3.122,00:03
2026-03-26T16:12:32,3000,969,29,2,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,7.225,00:07
2026-03-26T16:12:40,4000,928,63,9,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,15.545,00:15
2026-03-26T16:12:56,5000,851,128,21,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,30.991,00:30
2026-03-26T16:13:21,6000,738,213,49,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,56.067,00:56
2026-03-26T16:13:54,7000,596,303,101,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,88.916,01:28
2026-03-26T16:14:29,8000,431,377,192,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,124.022,02:04
2026-03-26T16:14:57,9000,324,354,322,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,152.679,02:32
2026-03-26T16:15:17,10000,236,289,475,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,172.625,02:52
2026-03-26T16:15:29,11000,199,181,620,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,184.753,03:04
2026-03-26T16:15:36,12000,189,90,721,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,191.687,03:11
2026-03-26T16:15:40,13000,180,34,786,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,194.965,03:14
2026-03-26T16:15:41,14000,178,19,803,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,196.551,03:16
2026-03-26T16:15:42,15000,176,8,816,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,197.749,03:17
2026-03-26T16:15:43,16000,175,5,820,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,198.584,03:18
2026-03-26T16:15:44,17000,175,1,824,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,199.299,03:19
2026-03-26T16:15:44,18000,175,0,825,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,199.904,03:19
2026-03-26T16:15:45,19000,175,0,825,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,200.467,03:20
2026-03-26T16:15:46,20000,175,0,825,300,0.02,0.5,0.3,0.017,0.002999999999999999,1000,201.029,03:21
