real_time_iso8601,simulation_timestep_step,susceptible_agents_count,infected_agents_count,recovered_agents_count,vaccinated_agents_count,transmission_probability_fraction,vaccination_efficacy_fraction,vaccinated_fraction,effective_transmission_probability_fraction,transmission_probability_reduction_fraction,entity_count_agents,real_elapsed_seconds_s,runtime_mm_ss
2026-03-26T18:21:18,1000,484,16,0,500,0.7,0.5,1.0,0.35,0.35,500,1.036,00:01
2026-03-26T18:21:21,2000,441,59,0,500,0.7,0.5,1.0,0.35,0.35,500,4.233,00:04
2026-03-26T18:21:27,3000,401,99,0,500,0.7,0.5,1.0,0.35,0.35,500,9.949,00:09
2026-03-26T18:21:35,4000,360,139,1,500,0.7,0.5,1.0,0.35,0.35,500,17.875,00:17
2026-03-26T18:21:44,5000,314,170,16,500,0.7,0.5,1.0,0.35,0.35,500,27.313,00:27
2026-03-26T18:21:54,6000,245,196,59,500,0.7,0.5,1.0,0.35,0.35,500,36.969,00:36
2026-03-26T18:22:03,7000,183,218,99,500,0.7,0.5,1.0,0.35,0.35,500,45.874,00:45
2026-03-26T18:22:10,8000,93,266,141,500,0.7,0.5,1.0,0.35,0.35,500,53.255,00:53
2026-03-26T18:22:15,9000,39,275,186,500,0.7,0.5,1.0,0.35,0.35,500,58.162,00:58
2026-03-26T18:22:18,10000,17,228,255,500,0.7,0.5,1.0,0.35,0.35,500,61.385,01:01
