real_time_iso8601,simulation_timestep_step,susceptible_agents_count,infected_agents_count,recovered_agents_count,vaccinated_agents_count,transmission_probability_fraction,vaccination_efficacy_fraction,vaccinated_fraction,effective_transmission_probability_fraction,transmission_probability_reduction_fraction,entity_count_agents,real_elapsed_seconds_s,runtime_mm_ss
2026-03-26T17:51:05,1000,491,9,0,0,0.02,0.5,0.0,0.02,0.0,500,0.79,00:00
2026-03-26T17:51:07,2000,461,32,7,0,0.02,0.5,0.0,0.02,0.0,500,2.839,00:02
2026-03-26T17:51:11,3000,418,59,23,0,0.02,0.5,0.0,0.02,0.0,500,6.727,00:06
2026-03-26T17:51:17,4000,329,117,54,0,0.02,0.5,0.0,0.02,0.0,500,12.396,00:12
2026-03-26T17:51:24,5000,234,166,100,0,0.02,0.5,0.0,0.02,0.0,500,20.059,00:20
2026-03-26T17:51:30,6000,161,130,209,0,0.02,0.5,0.0,0.02,0.0,500,26.094,00:26
2026-03-26T17:51:34,7000,123,76,301,0,0.02,0.5,0.0,0.02,0.0,500,29.447,00:29
2026-03-26T17:51:36,8000,103,41,356,0,0.02,0.5,0.0,0.02,0.0,500,31.116,00:31
2026-03-26T17:51:36,9000,97,20,383,0,0.02,0.5,0.0,0.02,0.0,500,32.077,00:32
2026-03-26T17:51:37,10000,97,3,400,0,0.02,0.5,0.0,0.02,0.0,500,32.557,00:32
