real_time_iso8601,simulation_timestep_step,susceptible_agents_count,infected_agents_count,recovered_agents_count,vaccinated_agents_count,transmission_probability_fraction,vaccination_efficacy_fraction,vaccinated_fraction,effective_transmission_probability_fraction,transmission_probability_reduction_fraction,entity_count_agents,real_elapsed_seconds_s,runtime_mm_ss
2026-03-26T18:04:14,1000,497,3,0,0,0.02,0.5,0.0,0.02,0.0,500,0.443,00:00
2026-03-26T18:04:15,2000,497,3,0,0,0.02,0.5,0.0,0.02,0.0,500,0.963,00:00
2026-03-26T18:04:15,3000,495,5,0,0,0.02,0.5,0.0,0.02,0.0,500,1.572,00:01
2026-03-26T18:04:16,4000,482,17,1,0,0.02,0.5,0.0,0.02,0.0,500,2.812,00:02
2026-03-26T18:04:19,5000,446,51,3,0,0.02,0.5,0.0,0.02,0.0,500,5.506,00:05
2026-03-26T18:04:26,6000,361,136,3,0,0.02,0.5,0.0,0.02,0.0,500,12.2,00:12
2026-03-26T18:04:37,7000,227,268,5,0,0.02,0.5,0.0,0.02,0.0,500,23.187,00:23
2026-03-26T18:04:48,8000,103,379,18,0,0.02,0.5,0.0,0.02,0.0,500,33.995,00:33
2026-03-26T18:04:55,9000,40,406,54,0,0.02,0.5,0.0,0.02,0.0,500,41.24,00:41
2026-03-26T18:05:00,10000,17,344,139,0,0.02,0.5,0.0,0.02,0.0,500,45.994,00:45
