timestamp	timestep	susceptible	infected	recovered	vaccinated	transmission_probability	entity_count	cpu_percent	memory_percent	process_memory_percent	process_cpu_percent
2026-03-18T14:39:38	1000	994	6	0	200	0.05	1000				
2026-03-18T14:39:40	2000	988	9	3	200	0.05	1000				
2026-03-18T14:39:43	3000	969	24	7	200	0.05	1000				
2026-03-18T14:39:49	4000	932	48	20	200	0.05	1000				
2026-03-18T14:40:02	5000	833	125	42	200	0.05	1000				
2026-03-18T14:40:26	6000	679	222	99	200	0.05	1000				
2026-03-18T14:40:54	7000	483	302	215	200	0.05	1000				
2026-03-18T14:41:18	8000	333	270	397	200	0.05	1000				
2026-03-18T14:41:32	9000	251	160	589	200	0.05	1000				
2026-03-18T14:41:39	10000	221	69	710	200	0.05	1000				
